"ID","Type","Name","Documentation","Specialization"
"id-a591d5ebd3de423ba919a28ee9d5f34b","ArchimateModel","Gestion des editions dans les ateliers","Cette cartographie documente la gestion et les flux d'impression des différents documents (fiches, étiquettes...) dans les ateliers de production des usines Fournier.",""
"id-50ab51ebfd13459faceb071f94b9f97a","BusinessFunction","Contrôler l'appairage","Grâce aux informations directement imprimées sur le document, un opérateur est en mesure de contrôler que la pièce ou le document est bien le bon par rapport à un n° d'identification associé, en général le n° de la ligne de commande de vente (AR ligne). ",""
"id-636cc9fcf2674df1937d98cadb127604","BusinessFunction","Effectuer un jalonnement","L'information d'identification unique de la pièce ou de la pile permet d'effectuer un jalonnement automatique (lecture optique d'un code à barres) ou manuelle par saisie de la référence dans un logiciel.

Ce traitrement est un cas particulier lié à la fonctionnalité d'identification portée par le document.",""
"id-ec4928d331854ee1984f473f47badd7d","BusinessFunction","Guider l'opérateur","Grâce aux instructions ou aux informations directement imprimées sur le document (nom d'une opération de gamme, nom d'une option, dimension, référence d'un coloris ou d'un type de chant, emplacement de destination...), un opérateur est en mesure d'effectuer certaines opérations de fabrication ou de déplacement.",""
"id-641a8d6c2a624224860ac57d7ccab17d","BusinessFunction","Identifier un produit ou un composant","Grâce aux informations directement imprimées sur le document, il est possible d'identifier le produit ou le composant grâce à une description, une référence article, un ° de ligne de commande (AR ligne), un n° de besoin (n° OF ou n° fractionnement).

Certain document affiche également une représentation graphique (vignette) du produit.

On retrouve également sous forme d'un code à barres un n° d'identification unique qui, grâce à une lecture optique, sera traité par un logiciel pour effectuer un traitement particulier pour la pièce identifiée. 

Cela peut par exemple être l'impression d'un nouveau document dans une opération de gamme de fabrication, l'envoi de paramètre process à une machine d'usinage, l'aiguillage automatique d'un produit sur un convoyeur ou une sortie particulière (i.e. poste de contrôle), éclairage d'un voyant particulier (instruction type ""pick to light"") ou même l'affichage d'une information complémentaire sur un écran (guidance opérateur par une instruction dynamique liée au contexte et non directement portée par le document).",""
"id-fd352ce09db0404cbe600a8258acee42","BusinessFunction","Suivre la livraison","",""
"id-75c8de0caafe4fa7b8d496cf708575e8","BusinessObject","Besoin Planifié","",""
"id-5478b18c2b7a4f19805b70b22b1b1c69","BusinessObject","Composant","",""
"id-92319b9643e34580ab0d132ca9f07173","BusinessObject","Ligne AR","",""
"id-d93dc101a4a7433ca2110e665fbeae30","BusinessObject","Matière Première","",""
"id-adbb792798084f9ca92858f341193644","BusinessObject","Ordre d'Achat","",""
"id-2805477146514c47b74cb087d701c100","BusinessObject","Ordre de Fabrication","",""
"id-d713844eb18c4c898dff87ad0a86ab80","BusinessObject","Ordre Magasin","",""
"id-0b3945895fbe4dc3a0af468ba3872106","BusinessObject","Pile","",""
"id-82d4794450a148e5973449deda309acd","BusinessObject","Produit Fini","",""
"id-453dceebe66f400896ea69d13fe0c4c3","BusinessObject","Semi-Fini","",""
"id-26f929cc796d4e59a63463ddf366f264","BusinessProcess","Déplacer un composant ou un produit","",""
"id-19ef9c362c9a4f788c49d4508af4cc5d","BusinessProcess","Expédier un produit","",""
"id-4ba5d76631ba427e8ff979643c3704aa","BusinessProcess","Fabriquer un produit","",""
"id-5f72cf0ee7a24a8ca09440cf757e5a9f","BusinessProcess","Préparer des composants","",""
"id-dfb507fa2c624c42813c9b989014f2e4","Representation","Documentation Produit","Documentation imrpimée associée à un meuble et qui est livrée en même temps que le produit.",""
"id-8fbb7916b9094323a3ee44bc5a9e6822","Representation","Etiquette de production (étiquette de chant)","Cette étiquette est collée sur une pièce pour permettre de l'identifier et de tracer son déplacement dans les ateliers.

Elle reprend des informations liées à l'ordre de fabrication.",""
"id-d93bf53b2297499795ba6ebfd39f9738","Representation","Fiche débit plan de travail","",""
